time;cpu_percentage;memory
1;0.0005997082052912071;21.79
2;10.323333333333334;23.39
3;11.50006779661017;24.23
4;9.632432432432433;26.03
5;9.807622259696458;25.76
6;10.721608040201005;25.84
7;11.987817258883249;26.61
8;13.21309644670051;26.71
9;11.641010101010101;26.82
10;14.267005076142134;26.89
11;15.651993243243242;27.07
12;14.355278246205733;27.91
13;11.07805369127517;28.37
14;16.27477234401349;29.31
15;12.36710659898477;29.37
16;15.245472972972973;29.46
17;15.188397976391233;29.56
18;15.944120603015074;30.59
19;13.938243243243242;31.17
20;15.751155778894473;32.44
21;16.410252951096123;31.73
22;16.205160202360876;31.75
23;16.59151515151515;32.83
24;17.10402684563758;33.52
25;11.421983193277311;33.55
26;15.207474747474748;33.65
27;15.043305227655987;33.65
28;14.83464406779661;33.85
29;13.977672849915685;34.12
30;15.746073825503357;34.15
31;14.124848484848485;34.18
32;16.796783919597992;34.32
33;16.174111675126905;34.99
34;15.522929292929295;36
35;16.829035532994922;37.62
36;18.846464646464646;37.88
37;17.48243654822335;37.91
38;13.445243697478993;38
39;17.757364864864865;38.05
40;15.133187919463087;38.11
41;15.76708474576271;38.14
42;13.523859060402685;38.16
43;16.36791946308725;38.61
44;13.61161616161616;39.29
45;13.448470588235296;39.46
46;12.936946308724833;39.47
47;17.853851351351352;39.78
48;18.5847972972973;40.59
49;17.244467005076142;40.93
50;19.834474576271187;42.57
51;14.688465430016864;43.54
52;14.521006711409395;43.45
53;13.73778523489933;43.63
54;13.36618487394958;43.68
55;17.224654300168634;43.77
56;16.79482233502538;43.78
57;18.593625632377737;43.92
58;15.153096446700506;43.98
59;18.50918918918919;44.34
60;18.99015228426396;44.7
61;15.649274873524451;45.09
62;17.00056856187291;45.82
63;15.73347972972973;46.48
64;17.20240677966102;46.52
65;15.355872483221475;46.6
66;17.720470588235294;47.72
67;17.935945945945946;48.3
68;18.14131313131313;48.48
69;15.023271500843169;48.53
70;19.74971332209106;48.96
71;17.290050251256282;49.36
72;19.757474747474745;49.61
73;17.472121212121213;49.63
74;19.218680203045686;49.69
75;15.566091370558373;49.71
76;6.862914572864322;49.72
77;0.7854817275747508;49.73
