time;cpu_percentage;memory
1;0.0005388318972356091;21.98
2;12.115721561969439;21.83
3;11.702964224872233;23.02
4;9.73677966101695;23.59
5;10.950506756756756;23.55
6;9.645632377740304;24.17
7;13.986475548060707;25.25
8;13.481428571428571;24.84
9;12.314899328859061;25.67
10;15.244864864864866;25.84
11;12.315025210084034;26.34
12;13.13546218487395;27.21
13;13.672134453781512;27.21
14;14.514070351758793;27.43
15;17.809630872483222;27.48
16;14.327495798319328;28.35
17;14.984924114671164;28.45
18;15.55945945945946;28.99
19;15.543237774030356;29.05
20;14.876047297297298;31.02
21;14.069342327150084;30.1
22;15.84070945945946;30.15
23;15.52838063439065;30.57
24;15.515134228187918;31.62
25;17.066610455311974;31.7
26;15.462756302521008;31.75
27;15.78010135135135;31.78
28;16.34097972972973;32.62
29;16.62081218274112;32.73
30;17.401212121212122;33.58
31;16.64893401015228;34.43
32;14.413939393939396;34.43
33;15.756302521008402;35.32
34;17.731663865546217;35.42
35;19.158060200668896;35.86
36;15.307865546218485;36.01
37;17.278983050847458;36.04
38;16.167567567567566;36.05
39;17.718762541806022;36.11
40;16.58741989881956;36.11
41;17.024747474747475;37.54
42;17.282428330522766;37.6
43;16.14413445378151;37.6
44;20.062967959527825;38.72
45;19.273288590604025;38.93
46;16.8789527027027;39.07
47;17.779068219633945;39.2
48;18.594682274247493;40.5
49;19.257785234899327;41.27
50;18.82111111111111;41.28
51;15.35396984924623;41.49
52;17.386991596638655;41.8
53;21.22822147651007;42.04
54;18.177478991596637;42.38
55;18.13973018549747;42.68
56;14.625101351351352;42.99
57;16.84527731092437;43
58;20.523946037099495;43.78
59;16.329814502529512;44.14
60;18.394242424242425;44.45
61;13.277042016806723;45.14
62;18.91779661016949;45.16
63;14.287689713322091;45.17
64;20.26235294117647;46.58
65;17.60450420168067;46.74
66;17.626767676767678;46.75
67;21.754897959183673;46.97
68;15.501140939597317;47.29
69;18.17220910623946;47.31
70;16.849072512647552;47.32
71;18.344571428571427;48.55
72;17.66949152542373;49.38
73;20.981616161616163;49.4
74;18.661618887015177;49.41
75;20.720773109243698;50.14
76;16.75171717171717;50.95
77;23.038885135135136;51.21
78;18.968979591836735;51.49
79;21.178372881355934;51.66
80;19.14393939393939;52.04
81;14.686271186440681;52.05
82;18.76507512520868;53.12
83;16.566981450252953;54.02
84;20.868484848484847;54.05
85;15.765478991596638;54.05
86;17.839932546374367;54.11
87;18.766262626262627;54.27
88;20.597171717171715;54.28
89;22.10610455311973;55.25
90;19.654881355932204;55.28
91;21.36070588235294;55.75
92;18.41337860780985;55.75
93;25.033109243697478;56.43
94;18.252445193929173;57.86
95;19.803451776649744;57.88
96;19.733467336683418;57.95
97;18.72273187183811;57.95
98;17.8721;58.7
99;19.177639123102868;59.47
100;19.08406091370558;59.47
101;19.789274873524455;59.5
102;21.507925801011805;59.5
103;22.845405405405405;60.34
104;23.2587521079258;61.05
105;21.52618487394958;61.06
106;24.67228426395939;61.18
107;20.330303030303032;61.17
108;19.81744537815126;61.88
109;20.049628378378376;63.14
110;19.199189189189187;63.16
111;17.72777027027027;63.21
112;20.101522842639596;63.22
113;19.86524369747899;63.24
114;24.71282828282828;65.12
115;21.25112984822934;65.31
116;16.83919191919192;65.31
117;21.61064189189189;65.33
118;18.840202020202018;65.35
119;25.534141414141416;66.37
120;21.540404721753795;66.9
121;18.05532994923858;66.91
122;22.961577181208053;67.38
123;23.179322033898302;67.47
124;19.869409780775715;67.59
125;25.003581081081077;68.83
126;20.10162436548223;69.55
127;21.007627118644066;69.55
128;26.638184873949577;70.02
129;19.08101351351351;70.61
130;23.4097461928934;70.61
131;23.18256323777403;70.75
132;18.803697478991598;71.14
133;20.1453807106599;71.14
134;22.811212121212122;71.14
135;24.115548060708264;72.89
136;15.33095477386935;73.27
137;20.327877758913417;73.29
138;23.714343434343434;73.75
139;21.107394957983196;74.39
140;19.40989864864865;74.39
141;16.65531197301855;74.78
142;25.148310810810813;75.36
143;20.942436548223352;75.53
144;21.223045685279185;75.53
145;23.421319796954315;76.1
146;18.07140916808149;76.57
147;19.2648322147651;76.57
148;24.611047297297297;77.14
149;23.619226890756302;77.63
150;21.51915254237288;77.64
151;20.70060606060606;77.65
152;26.6915294117647;79
153;20.882635135135136;79.19
154;26.535630252100837;79.2
155;25.275585738539895;79.35
156;21.912885906040266;79.38
157;2.541946308724832;79.38
158;0.24777408637873755;79.38
